n_qubits,bond_dim,train_samples,test_samples,num_epochs,batch_size,knn_k,knn_accuracy,final_train_loss
4,1,12000,2000,10,128,5,0.08749999850988388,0.4999999935908984
4,2,12000,2000,10,128,5,0.45399999618530273,0.24023023151582287
4,4,12000,2000,10,128,5,0.6460000276565552,0.21647095952623635
4,6,12000,2000,10,128,5,0.6179999709129333,0.2068951799664446
4,8,12000,2000,10,128,5,0.7085000276565552,0.1942817969347841
4,10,12000,2000,10,128,5,0.7519999742507935,0.17289424455294045
4,12,12000,2000,10,128,5,0.7739999890327454,0.1951315052086307
4,14,12000,2000,10,128,5,0.7490000128746033,0.1733919527902398
4,16,12000,2000,10,128,5,0.722000002861023,0.17262461116557481
4,18,12000,2000,10,128,5,0.7300000190734863,0.17830621659435253
4,20,12000,2000,10,128,5,0.7710000276565552,0.17208861711845602
8,1,12000,2000,10,128,5,0.08749999850988388,0.4999999923090781
8,2,12000,2000,10,128,5,0.5625,0.16199345061535475
8,4,12000,2000,10,128,5,0.8169999718666077,0.11496927597189463
8,6,12000,2000,10,128,5,0.8414999842643738,0.10631972158788353
8,8,12000,2000,10,128,5,0.8765000104904175,0.09098768025957128
8,10,12000,2000,10,128,5,0.9164999723434448,0.07234983218293037
8,12,12000,2000,10,128,5,0.9089999794960022,0.07491199776370039
8,14,12000,2000,10,128,5,0.9294999837875366,0.06874560116119283
8,16,12000,2000,10,128,5,0.9309999942779541,0.06694570372021326
8,18,12000,2000,10,128,5,0.9309999942779541,0.06431790673604576
8,20,12000,2000,10,128,5,0.9440000057220459,0.05774125841356093
10,1,12000,2000,5,64,5,0.08749999850988388,0.5000000063748283
10,2,12000,2000,5,64,5,0.5550000071525574,0.17235542224212128
10,4,12000,2000,5,64,5,0.8025000095367432,0.1295347089435965
10,6,12000,2000,5,64,5,0.8569999933242798,0.11237843187256931
10,8,12000,2000,5,64,5,0.8794999718666077,0.102567193422088
10,10,12000,2000,5,64,5,0.9014999866485596,0.09506927020250157
10,12,12000,2000,5,64,5,0.8955000042915344,0.09072893756357106
10,14,12000,2000,5,64,5,0.906000018119812,0.08286186955112188
10,16,12000,2000,5,64,5,0.9100000262260437,0.08176000219057589
10,18,12000,2000,5,64,5,0.9079999923706055,0.0840359284557442
10,20,12000,2000,5,64,5,0.9240000247955322,0.0799334543672475
12,1,12000,2000,5,64,5,0.08749999850988388,0.49999998693160197
12,2,12000,2000,5,64,5,0.531499981880188,0.16612219061443512
12,4,12000,2000,5,64,5,0.8115000128746033,0.12715826526204532
12,6,12000,2000,5,64,5,0.8665000200271606,0.11190452454561856
12,8,12000,2000,5,64,5,0.8895000219345093,0.10224263378005614
12,10,12000,2000,5,64,5,0.9010000228881836,0.09443603734919094
12,12,12000,2000,5,64,5,0.8995000123977661,0.09627866509923323
12,14,12000,2000,5,64,5,0.906000018119812,0.08812045339833606
12,16,12000,2000,5,64,5,0.9079999923706055,0.08827282803103248
12,18,12000,2000,5,64,5,0.9175000190734863,0.08591841770844026
12,20,12000,2000,5,64,5,0.9275000095367432,0.07590329324338525
